Ride_name,Ride_type_thrill,Ride_type_spinning,Ride_type_slow,Ride_type_small_drops,Ride_type_big_drops,Ride_type_dark,Ride_type_scary,Ride_type_water,Fast_pass,Classic,Age_interest_preschoolers,Height_req_inches,Ride_duration_min,Age_of_ride_years,TA_Stars,Park_location_AK,Park_location_EC,Park_location_HS,Park_location_MK,Park_area_Adventureland,Park_area_Africa,Park_area_Asia,Park_area_Dinoland USA,Park_area_Echo Lake,Park_area_Fantasyland,Park_area_Frontierland,Park_area_Future World,Park_area_Liberty Square,Park_area_Main Street USA,Park_area_Pandora,Park_area_Sunset Boulevard,Park_area_Tomorrowland,Park_area_Toy Story Land,Park_area_World Showcase
Alien Swirling Saucers,0,1,0,0,0,0,0,0,1,0,1,32,1.5,4.314168377823409,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Astro Orbiter,0,1,1,0,0,0,0,0,0,1,1,0,1.5,27.657084188911703,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Avatar Flight of Passage,1,0,0,0,0,0,0,0,1,0,0,44,5.0,5.406570841889117,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Big Thunder Mountain Railroad,1,0,0,1,0,0,0,0,1,1,0,40,3.5,42.08008213552361,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Buzz Lightyear's Space Ranger Spin,0,1,1,0,0,0,0,0,1,0,1,0,4.0,24.043121149897328,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dinosaur,1,0,0,1,0,1,1,0,1,0,0,40,3.25,24.50308008213552,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dumbo the Flying Elephant,0,1,1,0,0,0,0,0,1,1,1,0,1.5,51.06023271731691,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Expedition Everest,1,0,0,0,1,1,0,0,1,0,0,44,2.75,16.544147843942508,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frozen Ever After,0,0,1,1,0,1,0,0,1,0,1,0,5.0,6.3374401095140325,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gran Fiesta Tour Starring The Three Caballeros,0,0,1,0,0,0,0,0,0,1,1,0,8.0,15.558521560574947,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Haunted Mansion,0,0,1,0,0,1,0,0,1,1,1,0,7.5,51.06023271731691,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
It's a Small World,0,0,1,0,0,0,0,0,1,1,1,0,10.5,51.06023271731691,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Journey Into Imagination with Figment,0,0,1,0,0,1,0,0,1,0,1,0,11.0,20.39356605065024,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jungle Cruise,0,0,1,0,0,0,0,0,1,1,1,0,9.0,51.06023271731691,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kali River Rapids,1,1,0,1,0,0,0,1,1,0,0,38,3.5,23.684462696783022,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Kilimanjaro Safaris,0,0,1,0,0,0,0,0,1,1,1,0,18.5,24.50308008213552,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Living with the Land,0,0,1,0,0,0,0,0,1,0,1,0,13.75,40.05954825462013,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mad Tea Party,0,1,0,0,0,0,0,0,1,1,1,0,1.5,51.06023271731691,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mission Space,1,1,0,0,0,1,0,0,1,0,0,40,5.75,19.060232717316907,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Na'vi River Journey,0,0,1,0,0,0,0,0,1,0,1,0,5.0,5.406570841889117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Peter Pan's Flight,0,0,1,1,0,0,0,0,1,1,1,0,2.75,51.06023271731691,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean,0,0,1,1,0,1,0,0,1,1,1,0,8.5,48.848049281314175,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Primeval Whirl,1,1,0,1,0,0,0,0,1,0,0,48,1.25,20.51403148528405,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Prince Charming Regal Carrousel,0,1,1,0,0,0,0,0,0,1,1,0,2.0,51.06023271731691,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rock 'n' Roller Coaster,1,0,0,0,1,0,0,0,1,0,0,48,1.25,23.235455167693356,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Seven Dwarfs Mine Train,1,0,0,1,0,0,0,0,1,0,0,38,2.5,8.404517453798768,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Slinky Dog Dash,1,0,0,1,0,0,0,0,1,0,0,38,2.0,4.314168377823409,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soarin' Around the World,0,0,1,1,0,0,0,0,1,0,0,40,5.0,17.466803559206017,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Space Mountain,1,0,0,0,1,1,0,0,1,1,0,44,2.5,47.76933607118412,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Spaceship Earth,0,0,1,0,0,1,0,0,0,0,1,0,15.0,40.05954825462013,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Splash Mountain,1,0,0,0,1,0,0,1,1,0,0,40,11.0,30.266255989048595,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Star Tours,0,0,0,1,0,0,0,0,1,0,0,40,5.0,32.85352498288843,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Test Track,1,0,0,1,0,0,0,0,1,0,0,40,4.0,23.605065023956193,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Barnstormer,0,0,0,1,0,0,0,0,1,0,1,35,1.0,26.05817932922656,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Magic Carpets of Aladdin,0,1,1,0,0,0,0,0,1,0,1,0,1.5,21.417522245037645,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Many Adventures of Winnie the Pooh,0,0,1,0,0,0,0,0,1,0,1,0,3.25,23.38329911019849,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
The Twilight Zone Tower of Terror,1,0,0,0,1,1,1,0,1,0,0,40,5.0,28.253935660506507,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tomorrowland Speedway,0,0,1,0,0,0,0,0,1,0,1,32,4.75,51.06023271731691,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tomorrowland Transit Authority PeopleMover,0,0,1,0,0,0,0,0,0,0,1,0,10.0,47.31211498973307,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Toy Story Mania,0,1,0,0,0,0,0,0,1,0,1,0,8.0,14.394934976043803,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TriceraTop Spin,0,1,1,0,0,0,0,0,0,0,1,0,1.5,20.56331279945243,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Under the Sea,0,0,1,0,0,0,0,0,1,0,1,0,6.25,9.87748117727584,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Walt Disney World Railroad,0,0,1,0,0,0,0,0,0,0,1,0,20.0,51.06023271731691,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Walt Disney's Carousel of Progress,0,0,1,0,0,0,0,0,0,1,1,0,20.75,47.76933607118412,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
